player_id,match_id,goals,marks,tackles,disposals
1527,1,1,4,7,40
1551,1,0,9,3,22
1523,1,1,8,6,31
1553,1,2,3,3,29
1552,1,0,4,9,25
1529,1,4,4,2,13
1539,1,0,4,7,18
1560,1,3,6,3,39
1542,1,0,7,3,26
1532,1,3,3,6,29
1533,1,1,4,8,17
1535,1,1,3,8,33
1559,1,4,4,4,14
1546,1,0,9,4,38
1541,1,1,4,4,14
1558,1,4,8,2,19
1540,1,0,11,6,19
1528,1,3,7,5,34
1069,1,0,4,8,22
1070,1,0,10,2,18
1048,1,0,6,1,12
1076,1,1,7,3,21
1041,1,0,4,2,13
1062,1,0,5,8,19
1046,1,1,6,4,24
1064,1,1,9,2,27
1042,1,0,5,8,36
1045,1,1,9,7,34
1047,1,1,5,6,17
1058,1,0,8,6,24
1067,1,0,11,8,16
1050,1,2,7,1,10
1061,1,1,5,1,21
1049,1,2,7,3,24
1054,1,1,8,5,17
1053,1,0,4,6,27
1192,2,0,5,5,23
1166,2,1,9,8,23
1194,2,6,6,2,25
1186,2,0,10,8,18
1176,2,1,3,5,25
1193,2,0,7,7,16
1200,2,1,6,7,33
1199,2,1,9,4,40
1195,2,0,10,2,25
1174,2,1,10,7,38
1164,2,0,7,2,11
1178,2,3,3,1,23
1179,2,2,7,2,17
1165,2,2,7,8,28
1187,2,1,8,2,27
1190,2,0,9,8,16
1191,2,4,6,0,12
1185,2,0,6,5,10
1201,2,0,4,5,13
1203,2,3,2,3,24
1237,2,1,5,4,19
1204,2,0,2,3,16
1209,2,1,3,2,38
1202,2,0,4,3,20
1218,2,0,5,7,19
1224,2,3,4,2,27
1211,2,1,4,3,16
1227,2,0,5,10,26
1232,2,1,3,5,34
1216,2,1,4,10,18
1236,2,1,5,7,15
1219,2,0,4,4,15
1210,2,2,6,3,14
1205,2,1,6,2,39
1222,2,0,3,5,26
1220,2,1,9,4,38
1387,3,0,3,8,23
1364,3,0,5,3,11
1373,3,1,9,5,11
1393,3,0,9,5,18
1389,3,0,10,7,31
1379,3,0,8,7,15
1400,3,0,10,3,39
1368,3,1,5,1,20
1390,3,1,10,2,12
1386,3,1,8,5,17
1398,3,0,4,4,31
1385,3,0,10,10,23
1370,3,0,4,10,17
1366,3,1,7,5,30
1367,3,0,8,5,11
1388,3,1,10,2,15
1376,3,1,4,3,26
1365,3,2,6,7,35
1348,3,0,5,0,24
1326,3,4,3,3,21
